epoch,step,vehicle_id,speed_kmh,accel_ms2,prox_m,wave_m,ai_score,category
1,141,cross_3,50.22,-0.138,117.97,24.833,46.16,Normal
1,141,cross_4,50.24,-0.114,173.0,9.56,46.07,Normal
1,144,cross_0,46.77,0.266,18.4,33.748,77.88,Aggressive
1,144,cross_1,50.39,0.353,33.65,36.254,55.6,Normal
1,144,cross_2,50.13,-0.723,71.9,36.257,48.48,Normal
1,144,cross_3,50.27,0.133,113.38,26.064,46.15,Normal
1,144,cross_4,50.18,-0.167,168.6,10.779,46.26,Normal
1,147,cross_0,46.69,-0.22,12.89,33.748,89.79,Aggressive
1,147,cross_1,50.31,-0.231,28.22,36.255,61.73,Normal
1,147,cross_2,50.14,0.014,67.26,36.259,45.64,Normal
1,147,cross_3,50.2,-0.187,108.79,27.293,46.35,Normal
1,147,cross_4,50.2,0.049,164.21,11.996,45.79,Normal
1,150,cross_0,40.21,-18.009,8.24,33.733,100.0,Aggressive
1,150,cross_1,47.1,-8.904,23.37,36.248,87.62,Aggressive
1,150,cross_2,50.26,0.354,62.86,36.258,47.03,Normal
1,150,cross_3,50.22,0.042,104.38,28.52,45.77,Normal
1,150,cross_4,50.33,0.375,159.93,13.214,47.13,Normal
1,153,cross_0,30.49,-27.0,5.0,33.659,100.0,Aggressive
1,153,cross_1,42.41,-13.037,19.12,36.213,94.51,Aggressive
1,153,cross_2,50.28,0.037,58.61,36.258,45.76,Normal
1,153,cross_3,50.22,0.001,100.05,29.746,45.61,Normal
1,153,cross_4,50.21,-0.34,155.72,14.429,46.96,Normal
1,156,cross_0,20.77,-27.0,4.89,33.487,100.0,Aggressive
1,156,cross_1,37.55,-13.5,15.69,36.13,100.0,Aggressive
1,156,cross_2,50.33,0.139,54.55,36.258,46.18,Normal
1,156,cross_3,50.38,0.443,95.83,30.971,47.41,Normal
1,156,cross_4,50.38,0.474,151.57,15.644,47.54,Normal
1,159,cross_0,11.05,-27.0,6.53,33.185,100.0,Aggressive
1,159,cross_1,32.69,-13.5,13.18,35.98,100.0,Aggressive
1,159,cross_2,50.31,-0.049,50.61,36.257,45.82,Normal
1,159,cross_3,50.2,-0.483,91.69,32.195,47.53,Normal
1,159,cross_4,50.23,-0.417,147.47,16.858,47.28,Normal
1,162,cross_0,13.36,6.432,9.61,32.759,100.0,Aggressive
1,162,cross_1,32.5,-0.518,12.0,35.759,90.62,Aggressive
1,162,cross_2,50.38,0.198,47.02,36.257,46.72,Normal
1,162,cross_3,50.22,0.036,87.68,33.419,45.75,Normal
